playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8478048,2022,Igor Shesterkin,NYR,G,other,58,4743.0,14.04,10.0,140.0,5.93,7.0,14.51,13.0,78.67,74.0,1.79,1.0,41.03,40.0,25.78,34.0,12.42,38.0,45.0,21.0,1.26,5.36,7.43,0.0,5.0,5.0,36.0,0.0,0.0
8478048,2022,Igor Shesterkin,NYR,G,all,58,209326.0,172.05,144.0,3219.0,119.72,157.0,405.65,228.0,1741.47,1719.0,57.97,35.0,931.67,907.0,686.39,910.0,162.46,1676.0,520.0,178.0,48.42,64.66,58.96,53.0,45.0,46.0,845.0,2.0,1.0
8478048,2022,Igor Shesterkin,NYR,G,5on5,58,173262.0,123.81,102.0,2637.0,93.73,123.0,343.25,188.0,1415.85,1402.0,43.77,22.0,756.06,742.0,567.44,752.0,118.37,1401.0,418.0,113.0,41.47,52.06,30.27,52.0,29.0,21.0,705.0,2.0,1.0
8478048,2022,Igor Shesterkin,NYR,G,4on5,58,14558.0,29.6,28.0,362.0,17.63,23.0,39.19,23.0,198.36,189.0,1.55,1.0,116.9,111.0,62.23,84.0,27.18,188.0,46.0,38.0,4.34,5.86,19.4,1.0,9.0,18.0,90.0,0.0,0.0
8478048,2022,Igor Shesterkin,NYR,G,5on4,58,16763.0,2.98,3.0,55.0,1.52,2.0,5.75,1.0,34.51,38.0,10.31,9.0,10.83,9.0,23.8,31.0,2.92,34.0,8.0,4.0,0.71,0.98,1.29,0.0,1.0,2.0,9.0,0.0,0.0
8478872,2022,Karel Vejmelka,ARI,G,other,50,4023.0,12.31,10.0,139.0,6.3,9.0,13.59,12.0,75.63,74.0,1.08,2.0,43.47,35.0,24.82,36.0,11.11,51.0,39.0,13.0,2.22,5.11,4.98,1.0,6.0,3.0,36.0,0.0,0.0
8478872,2022,Karel Vejmelka,ARI,G,all,50,176450.0,179.09,168.0,3117.0,125.89,155.0,390.37,378.0,1705.13,1671.0,39.16,28.0,950.08,812.0,658.96,794.0,168.65,1641.0,547.0,173.0,50.83,68.93,59.34,53.0,64.0,51.0,756.0,2.0,1.0
8478872,2022,Karel Vejmelka,ARI,G,5on5,50,140038.0,114.12,106.0,2330.0,87.48,108.0,302.19,302.0,1257.77,1240.0,31.74,23.0,695.66,591.0,505.92,595.0,110.17,1255.0,396.0,96.0,38.73,50.1,25.3,43.0,41.0,22.0,583.0,2.0,1.0
8478872,2022,Karel Vejmelka,ARI,G,4on5,50,18257.0,48.25,48.0,585.0,29.78,37.0,69.06,59.0,334.57,312.0,0.92,0.0,197.74,177.0,103.92,132.0,43.06,302.0,100.0,58.0,8.81,12.11,27.33,8.0,15.0,25.0,125.0,0.0,0.0
8478872,2022,Karel Vejmelka,ARI,G,5on4,50,14132.0,4.06,3.0,55.0,2.08,1.0,4.65,3.0,32.79,40.0,5.34,3.0,11.14,8.0,21.97,29.0,3.96,28.0,11.0,6.0,0.82,1.49,1.74,1.0,1.0,1.0,10.0,0.0,0.0
